"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2016A_BS13"	"H"	2016-07-19 02:00:00	"2016-07-20 01:59:00"	0	234	234	0	34	20	9
"SAND_2016A_BS13"	"H"	2016-07-20 02:00:00	"2016-07-21 01:59:00"	0	221	221	0	40	21	9
"SAND_2016A_BS17"	"H"	2016-07-21 01:00:00	"2016-07-22 00:59:00"	196	211	407	1	33	17	5
"SAND_2016A_BS17"	"H"	2016-07-22 01:00:00	"2016-07-23 00:59:00"	219	262	481	1	32	18	5
"SAND_2016A_BS17"	"H"	2016-07-23 01:00:00	"2016-07-24 00:59:00"	0	275	275	0	36	19	5
"SAND_2016A_BS17"	"H"	2016-07-24 01:00:00	"2016-07-25 00:59:00"	195	182	377	1	22	20	5
"SAND_2016A_BS17"	"H"	2016-07-25 01:00:00	"2016-07-26 00:59:00"	546	22	568	1	4	21	5
"SAND_2016A_BS21"	"H"	2016-07-21 05:00:00	"2016-07-22 04:59:00"	0	230	230	0	52	15	7
"SAND_2016A_BS21"	"H"	2016-07-22 05:00:00	"2016-07-23 04:59:00"	0	235	235	0	47	16	7
"SAND_2016A_BS21"	"H"	2016-07-23 05:00:00	"2016-07-24 04:59:00"	0	247	247	0	49	17	7
"SAND_2016A_BS21"	"H"	2016-07-24 05:00:00	"2016-07-25 04:59:00"	0	200	200	0	46	18	7
"SAND_2016A_BS21"	"H"	2016-07-25 05:00:00	"2016-07-26 04:59:00"	0	184	184	0	28	19	7
"SAND_2016A_BS21"	"H"	2016-07-26 05:00:00	"2016-07-27 04:59:00"	0	257	257	0	44	20	7
"SAND_2016A_BS21"	"H"	2016-07-27 05:00:00	"2016-07-28 04:59:00"	0	251	251	0	41	21	7
"SAND_2019A_BS_19_01"	"A"	2019-07-05 03:00:00	"2019-07-06 02:59:00"	493	85	578	2	24	1	12
"SAND_2019A_BS_19_01"	"A"	2019-07-06 03:00:00	"2019-07-07 02:59:00"	248	326	574	1	28	2	12
"SAND_2019A_BS_19_01"	"A"	2019-07-07 03:00:00	"2019-07-08 02:59:00"	0	52	52	0	14	3	12
